,VMB_1,VMB_2,VMB_3,VMB_4,VMB_5,VMB_6,VMB_7,VMB_8,VMB_9,VMB_10,VMB_11,VMB_12,VMB_13,VMB_14,VMB_15,VMB_16,VMB_17,VMB_18,VMB_19,VMB_20,VMB_21,VMB_22,VMB_23,VMB_24,VMB_25,VMB_26,VMB_27,VMB_28,VMB_29,VMB_30,VMB_31,VMB_32,VMB_33,VMB_34,VMB_35,VMB_36,VMB_37,VMB_38,VMB_39,VMB_40,VMB_41,VMB_42,VMB_43,VMB_44,VMB_45,VMB_46,VMB_47,VMB_48,VMB_49,VMB_50,VMB_51,VMB_52,VMB_53,VMB_54,VMB_55,VMB_56,VMB_57,VMB_58,VMB_59,VMB_60,VMB_61,VMB_62,VMB_63,VMB_64,VMB_65,VMB_66,VMB_67,VMB_68,VMB_69,VMB_70,VMB_71,VMB_72,VMB_73,VMB_74,VMB_75,VMB_76,VMB_77,VMB_78,VMB_79,VMB_80,VMB_81,VMB_82,VMB_83,VMB_84,VMB_85,VMB_86,VMB_87,VMB_88,VMB_89,VMB_90,VMB_91,VMB_92,VMB_93,VMB_94,VMB_95,VMB_96,VMB_97,VMB_98,VMB_99,VMB_100
Peptostreptococcus,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,12,680,0,0,0,0,0,0,0,0,2,0,0,0,1,9,3,0,0,4,0,0,43,0,0,0,0,1,72,0,0,0,0,1,0,0,269,27,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,7,114,1,0,0,0,0,0,0,0,0,0,0,0
Campylobacter,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,18,0,3,0,0,0,0,0,45,0,0,1,0,0,2,0,0,0,0,0,0,0,0,13,0,1,0,5,0,0,0,0,0,0,0,12,0,0,0,5,0,0,0,449,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,68,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomycetales,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,116,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,19,0,27,1,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,18,0,0,0,0,65,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TM7,0,0,0,1,3,9604,0,192,0,61,0,2,4234,0,0,0,503,2,19,0,0,0,0,0,5359,0,0,533,0,0,1,0,128,0,420,2,3192,11,16,0,4,0,0,94,0,0,0,1680,6,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,21,0,0,0,0,0,0,0,399,0,0,0,0,46,0,1,0,2,0,0,0,1,2255,48,1,0,3,0,0,0,0,0,0,148
Anaerostipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Varibaculum,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propionimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alloscardovia,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Solobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helcococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
